Entry	Entry Name	Gene Names	Protein names	Length
P07149	FAS1_YEAST	FAS1 YKL182W	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	2051
P07170	KAD2_YEAST	ADK1 AKY AKY1 AKY2 YDR226W YD9934.11	Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)	222
P07213	TOM70_YEAST	TOM70 MAS70 OMP1 YNL121C N1905	Mitochondrial import receptor subunit TOM70 (70 kDa mitochondrial outer membrane protein) (Translocase of outer membrane 70 kDa subunit)	617
P07244	PUR2_YEAST	ADE57 ADE5,7 YGL234W	Bifunctional purine biosynthetic protein ADE5,7 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GAR synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIR synthetase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)]	802
P07245	C1TC_YEAST	ADE3 YGR204W G7733	C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	946
P07246	ADH3_YEAST	ADH3 YMR083W YM9582.08	Alcohol dehydrogenase 3, mitochondrial (EC 1.1.1.1) (Alcohol dehydrogenase III) (ADHIII) (YADH-3)	375
P07248	ADR1_YEAST	ADR1 YDR216W YD8142.16 YD8142B.08	Regulatory protein ADR1	1323
P07249	ARGR1_YEAST	ARG80 ARGR1 YMR042W YM9532.07	Arginine metabolism regulation protein I (Arginine-requiring protein 80)	177
P07250	IPMK_YEAST	ARG82 ARGR3 GSL3 IPK2 YDR173C YD9395.06C	Inositol polyphosphate multikinase (IPMK) (EC 2.7.1.127) (EC 2.7.1.151) (Arginine metabolism regulation protein III) (GLE1 synthetic lethal protein 3) (Inositol polyphosphate kinase 2)	355
P07251	ATPA_YEAST	ATP1 YBL099W YBL0827	ATP synthase subunit alpha, mitochondrial	545
P07255	COX9_YEAST	COX9 YDL067C D2520	Cytochrome c oxidase subunit 9, mitochondrial (Cytochrome c oxidase polypeptide VIIA)	59
P07256	QCR1_YEAST	COR1 QCR1 YBL045C YBL0403	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)	457
P07257	QCR2_YEAST	QCR2 COR2 UCR2 YPR191W P9677.6	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome c oxidoreductase core protein 2)	368
P07258	CARA_YEAST	CPA1 YOR303W	Carbamoyl phosphate synthase arginine-specific small chain (CPS) (CPSase) (CPSase-arg) (EC 6.3.5.5) (Arginine-specific carbamoyl phosphate synthetase, glutamine chain) (Carbamoyl phosphate synthase A) (CPS-A) (Glutamine-dependent carbamoyl phosphate synthetase)	411
P07259	PYR1_YEAST	URA2 YJL130C J0686	Multifunctional protein URA2 (Pyrimidine-specific carbamoyl phosphate synthase-aspartate carbamoyl transferase) (CPSase-ATCase) [Includes: Glutamine-dependent carbamoyl phosphate synthase (EC 6.3.5.5) (Carbamoyl phosphate synthase P) (CPS-P) (CPSase P) (CPSase-ura) (Pyrimidine-specific carbamoyl phosphate synthase); Glutamine amidotransferase (GATase) (GLNase) (EC 3.5.1.2); Ammonium-dependent carbamoyl phosphate synthase (CPS) (CPSase) (EC 6.3.4.16); Aspartate carbamoyltransferase (ATCase) (EC 2.1.3.2) (Aspartate transcarbamylase)]	2214
P07260	IF4E_YEAST	CDC33 TIF45 YOL139C	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	213
P07261	GCR1_YEAST	GCR1 SIT3 YPL075W LPF10W	Glycolytic genes transcriptional activator GCR1	785
P07263	SYH_YEAST	HTS1 YPR033C YP9367.13C	Histidine--tRNA ligase, mitochondrial (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	546
P07264	LEUC_YEAST	LEU1 YGL009C	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	779
P07267	CARP_YEAST	PEP4 PHO9 PRA1 YPL154C P2585	Saccharopepsin (EC 3.4.23.25) (Aspartate protease) (PrA) (Proteinase A) (Carboxypeptidase Y-deficient protein 4) (Proteinase YSCA)	405
P07269	PHO2_YEAST	PHO2 BAS2 GRF10 YDL106C D2350	Regulatory protein PHO2 (General regulatory factor 10)	559
P07270	PHO4_YEAST	PHO4 YFR034C	Phosphate system positive regulatory protein PHO4	312
P07271	PIF1_YEAST	PIF1 TST1 YML061C YM9958.01C	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1) (Petite integration frequency protein 1) (Telomere stability protein 1)	859
P07272	PPR1_YEAST	PPR1 YLR014C	Pyrimidine pathway regulatory protein 1	904
P07273	TFS2_YEAST	DST1 PPR2 YGL043W	Transcription elongation factor S-II (DNA strand transfer protein alpha) (STP-alpha) (DNA strand transferase 1) (Pyrimidine pathway regulatory protein 2)	309
P07274	PROF_YEAST	PFY1 CLS5 PFY PRF1 YOR122C O3275 YOR3275C	Profilin (Calcium sensitive protein 5)	126
P07276	RAD2_YEAST	RAD2 YGR258C	DNA repair protein RAD2 (EC 3.1.-.-)	1031
P07277	ERG12_YEAST	ERG12 RAR1 YMR208W YM8261.02	Mevalonate kinase (MK) (MvK) (EC 2.7.1.36) (Ergosterol biosynthesis protein 12) (Regulation of autonomous replication protein 1)	443
P07278	KAPR_YEAST	BCY1 REG1 SRA1 YIL033C	cAMP-dependent protein kinase regulatory subunit (cAPK regulatory subunit) (Bypass of cyclase mutations protein 1) (Protein kinase A regulatory subunit) (PKA regulatory subunit)	416
P07280	RS19A_YEAST	RPS19A RP55A RPS16AA YOL121C	Small ribosomal subunit protein eS19A (40S ribosomal protein S19-A) (RP55A) (S16a) (YP45) (YS16A)	144
P07281	RS19B_YEAST	RPS19B RP55B RPS16AB YNL302C N0422	Small ribosomal subunit protein eS19B (40S ribosomal protein S19-B) (RP55B) (S16a) (YS16B)	144
P07283	PMM_YEAST	SEC53 ALG4 YFL045C	Phosphomannomutase (PMM) (EC 5.4.2.8) (Asparagine-linked glycosylation protein 4)	254
P07284	SYSC_YEAST	SES1 SERS YDR023W YD9813.01	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser) synthetase)	462
P07286	GPT_YEAST	ALG7 TUR1 YBR243C YBR1628	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase) (Tunicamycin resistance protein 1)	448
P07342	ILVB_YEAST	ILV2 SMR1 YMR108W YM9718.07	Acetolactate synthase catalytic subunit, mitochondrial (EC 2.2.1.6) (Acetohydroxy-acid synthase catalytic subunit) (AHAS) (ALS)	687
P07347	ARD1_YEAST	ARD1 YHR013C	N-terminal acetyltransferase A complex catalytic subunit ARD1 (NatA complex subunit ARD1) (EC 2.3.1.255) (Arrest-defective protein 1)	238
P07560	SEC4_YEAST	SEC4 SRO6 YFL005W	Ras-related protein SEC4 (Suppressor of RHO3 protein 6)	215
P07702	LYS2_YEAST	LYS2 YBR115C YBR0910	L-2-aminoadipate reductase (EC 1.2.1.31) (EC 1.2.1.95) (Alpha-aminoadipate reductase) (Alpha-AR) (L-aminoadipate-semialdehyde dehydrogenase)	1392
P07703	RPAC1_YEAST	RPC40 RPC5 YPR110C P8283.18	DNA-directed RNA polymerases I and III subunit RPAC1 (RNA polymerases I and III subunit AC1) (C37) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (AC40) (C40)	335
P07834	CDC4_YEAST	CDC4 YFL009W	Cell division control protein 4 (E3 ubiquitin ligase complex SCF subunit CDC4) (F-box protein CDC4)	779
P07866	LTE1_YEAST	LTE1 EIS4 MSI2 YAL024C	Guanine nucleotide exchange factor LTE1 (Low temperature essential protein 1)	1435
P07884	MOD5_YEAST	MOD5 YOR274W	tRNA dimethylallyltransferase (DMATase) (EC 2.5.1.75) (Isopentenyl-diphosphate: tRNA isopentenyltransferase) (IPP transferase) (IPPT) (tRNA isopentenyltransferase) (IPTase)	428
P07991	OAT_YEAST	CAR2 CARGB YLR438W L9753.2	Ornithine aminotransferase (OTAse) (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	424
P08004	CHS1_YEAST	CHS1 YNL192W N1404	Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1)	1131
P08018	PBS2_YEAST	PBS2 HOG4 SFS4 SSK4 YJL128C J0699	MAP kinase kinase PBS2 (EC 2.7.12.2) (Polymyxin B resistance protein 2) (Suppressor of fluoride sensitivity 4)	668
P08067	UCRI_YEAST	RIP1 YEL024W	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Rieske iron-sulfur protein) (RISP) (Ubiquinol-cytochrome c oxidoreductase iron-sulfur subunit)	215
P08153	SWI5_YEAST	SWI5 YDR146C YD8358.03C	Transcriptional factor SWI5	709
P08417	FUMH_YEAST	FUM1 YPL262W	Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)	488
P08425	SYFM_YEAST	MSF1 YPR047W YP9499.05	Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)	469
P08432	DCOR_YEAST	SPE1 ORD1 YKL184W	Ornithine decarboxylase (ODC) (EC 4.1.1.17)	466
P08456	PSS_YEAST	CHO1 PSS1 YER026C	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase) (PSS)	276
P08458	SPS1_YEAST	SPS1 YDR523C D9719.27	Sporulation-specific protein 1 (EC 2.7.11.1)	490
P08466	NUC1_YEAST	NUC1 YJL208C HRE329 J0310	Mitochondrial nuclease (EC 3.1.30.-)	329
P08518	RPB2_YEAST	RPB2 RPB150 RPO22 YOR151C	DNA-directed RNA polymerase II subunit RPB2 (RNA polymerase II subunit 2) (EC 2.7.7.6) (B150) (DNA-directed RNA polymerase II 140 kDa polypeptide)	1224
P08524	ERG20_YEAST	ERG20 BOT3 FDS1 FPP1 YJL167W J0525	Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)	352
P08525	QCR8_YEAST	QCR8 YJL166W J0526	Cytochrome b-c1 complex subunit 8, mitochondrial (Complex III subunit 8) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 8) (Ubiquinol-cytochrome c reductase complex 11 kDa protein) (Ubiquinone-binding protein QP-C)	94
P08536	MET3_YEAST	MET3 YJR010W J1436	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Methionine-requiring protein 3) (Sulfate adenylate transferase) (SAT)	511
P08539	GPA1_YEAST	GPA1 CDC70 DAC1 SCG1 YHR005C	Guanine nucleotide-binding protein alpha-1 subunit (GP1-alpha)	472
P08566	ARO1_YEAST	ARO1 AROM YDR127W YD9302.02	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	1588
P08638	LEUR_YEAST	LEU3 YLR451W L9324.1	Regulatory protein LEU3	886
P08640	FLO11_YEAST	FLO11 MAL5 MUC1 S1 S2 YIR019C	Flocculation protein FLO11 (Flo11p) (Flocculin-11) (Mucin-like protein 1)	1367
P08678	CYAA_YEAST	CYR1 CDC35 HSR1 SRA4 YJL005W J1401	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	2026
P08679	CISY2_YEAST	CIT2 YCR005C YCR043 YCR5C	Citrate synthase, peroxisomal (EC 2.3.3.16)	460
P08964	MYO1_YEAST	MYO1 YHR023W	Myosin-1 (Type II myosin)	1928
P09032	EI2BG_YEAST	GCD1 TIF223 TRA3 YOR260W	Translation initiation factor eIF2B subunit gamma (GCD complex subunit GCD1) (Guanine nucleotide exchange factor subunit GCD1) (eIF2B GDP-GTP exchange factor subunit gamma)	578
P09064	IF2B_YEAST	SUI3 TIF212 YPL237W	Eukaryotic translation initiation factor 2 subunit beta (eIF2-beta)	285
P09119	CDC6_YEAST	CDC6 YJL194W J0347	DNA replication factor CDC6 (Cell division control protein 6)	513
P09201	F16P_YEAST	FBP1 YLR377C L8039.18	Fructose-1,6-bisphosphatase (FBPase) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)	348
P09232	PRTB_YEAST	PRB1 YEL060C	Cerevisin (EC 3.4.21.48) (Proteinase YSCB) (Vacuolar protease B) (PrB)	635
P09440	C1TM_YEAST	MIS1 YBR084W YBR0751	C-1-tetrahydrofolate synthase, mitochondrial (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	975
P09547	SWI1_YEAST	SWI1 ADR6 GAM3 YPL016W LPA1	SWI/SNF chromatin-remodeling complex subunit SWI1 (Regulatory protein GAM3) (SWI/SNF complex subunit SWI1) (Transcription regulatory protein ADR6) (Transcription regulatory protein SWI1)	1314
P09620	KEX1_YEAST	KEX1 YGL203C	Pheromone-processing carboxypeptidase KEX1 (EC 3.4.16.6) (Carboxypeptidase D) (Killer expression defective protein 1)	729
P09624	DLDH_YEAST	LPD1 DHLP1 YFL018C	Dihydrolipoyl dehydrogenase, mitochondrial (DLD) (EC 1.8.1.4) (2-oxoglutarate dehydrogenase complex component E3) (OGDC-E3) (OGDHC subunit E3) (Alpha-ketoglutarate dehydrogenase complex subunit E3) (alpha-KGDHC subunit E3) (Dihydrolipoamide dehydrogenase) (Dihydrolipoamide:NAD(+) oxidoreductase) (Glycine decarboxylase complex subunit L) (GDC subunit L) (Lipoamide dehydrogenase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex E3 component) (PDC subunit E3) (PDH complex subunit E3)	499
P09733	TBA1_YEAST	TUB1 YML085C	Tubulin alpha-1 chain (EC 3.6.5.-)	447
P09734	TBA3_YEAST	TUB3 YML124C YM7056.02C	Tubulin alpha-3 chain (EC 3.6.5.-)	445
P09798	CDC16_YEAST	CDC16 YKL022C	Anaphase-promoting complex subunit CDC16 (Cell division control protein 16)	840
P09880	TRNL_YEAST	TRL1 RLG1 YJL087C J0927	tRNA ligase (EC 6.5.1.3)	827
P09938	RIR2_YEAST	RNR2 CRT6 YJL026W J1271	Ribonucleoside-diphosphate reductase small chain 1 (EC 1.17.4.1) (Ribonucleotide reductase R2 subunit 1) (Ribonucleotide reductase small subunit 1)	399
P09950	HEM1_YEAST	HEM1 CYD1 YDR232W YD9934.16	5-aminolevulinate synthase, mitochondrial (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)	548
P09959	SWI6_YEAST	SWI6 YLR182W L9470.8	Regulatory protein SWI6 (Cell-cycle box factor subunit SWI6) (MBF subunit P90) (Trans-acting activator of HO endonuclease gene)	803
P0C0T4	RS25B_YEAST	RPS25B RPS31 RPS31B YLR333C L8300.10	Small ribosomal subunit protein eS25B (40S ribosomal protein S25-B) (RP45) (S31) (YS23)	108
P0C0V8	RS21A_YEAST	RPS21A RPS25 RPS25A RPS26A YKR057W	Small ribosomal subunit protein eS21A (40S ribosomal protein S21-A) (S26) (YS25)	87
P0C0W9	RL11A_YEAST	RPL11A RP39A RPL16A YPR102C P8283.14	Large ribosomal subunit protein uL5A (60S ribosomal protein L11-A) (L16) (RP39) (YL22)	174
P0C0X0	RS28B_YEAST	RPS28B RPS33B YLR264W L8479.5	Small ribosomal subunit protein eS28B (40S ribosomal protein S28-B) (S33) (YS27)	67
P0C2I2	YD14B_YEAST	TY1B-DR5 YDRWTy1-4 POL YDR316W-B D9740.1	Transposon Ty1-DR5 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755
P0C2I3	YD15B_YEAST	TY1B-DR6 YDRWTy1-5 POL YDR365W-B D9481.12	Transposon Ty1-DR6 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755
P0C2I5	YL12B_YEAST	TY1B-LR2 YLRCTy1-2 POL YLR157C-B L9632.7	Transposon Ty1-LR2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755
P0C2I6	YL13B_YEAST	TY1B-LR3 YLRWTy1-3 POL YLR227W-B L8083.11	Transposon Ty1-LR3 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755
P0C2I7	YL14B_YEAST	TY1B-LR4 YLRWTy1-4 POL YLR256W-B/YLR256W-C	Transposon Ty1-LR4 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755
P0C2I9	YP12B_YEAST	TY1B-PR1 YPRCTy1-2 POL YPR137C-B P9659.6c	Transposon Ty1-PR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755
P0C2J0	YP13B_YEAST	TY1B-PR2 YPRWTy1-3 POL YPR158W-B P9584.3c	Transposon Ty1-PR2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1756
P0C2J1	YP14B_YEAST	TY1B-PR3 YPRCTy1-4 POL YPR158C-D P9584.3	Transposon Ty1-PR3 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755
P0C2J3	YL21B_YEAST	TY2B-LR1 YLRWTy2-1 POL YLR410W-B L9931.7b	Transposon Ty2-LR1 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	1770
P0C2J5	YL22B_YEAST	TY2B-LR2 YLRCTy2-2 POL YLR424C-A L9576.6c	Transposon Ty2-LR2 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	1598
P0C2J7	YH41B_YEAST	TY4B-H YHLWTy4-1 POL YHL009W-B YHL008W-A	Transposon Ty4-H Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	1802
P0C5R9	RNK_YEAST	YPR170W-B	V-type proton ATPase subunit f (V-ATPase subunit f)	85
P0CD91	AQY1_YEAST	AQY1 AQY1-2 YPR192W P9677.5	Aquaporin-1	305
P0CE41	HAP1_YEAST	HAP1 CYP1 YLR256W L9672.1	Heme-responsive zinc finger transcription factor HAP1 (CYP1 activatory protein) (Heme activator protein 1)	1502
P0CG63	UBI4P_YEAST	UBI4 SCD2 YLL039C	Polyubiquitin [Cleaved into: Ubiquitin]	381
P0CH08	RL40A_YEAST	RPL40A UBI1 YIL148W	Ubiquitin-ribosomal protein eL40A fusion protein [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40A (60S ribosomal protein L40-A) (CEP52)]	128
P0CH09	RL40B_YEAST	RPL40B UBI2 YKR094C	Ubiquitin-ribosomal protein eL40B fusion protein [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40B (60S ribosomal protein L40-B) (CEP52)]	128
P0CS90	HSP77_YEAST	SSC1 ENS1 YJR045C J1639	Import motor subunit, mitochondrial (EC 3.6.4.10) (Endonuclease SceI 75 kDa subunit) (Endo.SceI 75 kDa subunit) (mtHSP70)	654
P0CX25	RL43A_YEAST	RPL43A YPR043W YP9499.02	Large ribosomal subunit protein eL43A (60S ribosomal protein L43-A) (L37a) (YL35)	92
P0CX27	RL44A_YEAST	RPL42A RPL41A SCL41A YNL162W N1722	Large ribosomal subunit protein eL42A (60S ribosomal protein L42-A) (L41) (YL27) (YP44)	106
P0CX28	RL44B_YEAST	RPL42B MAK18 RPL41B SCL41B YHR141C	Large ribosomal subunit protein eL42B (60S ribosomal protein L42-B) (L41) (Maintenance of killer protein 18) (YL27) (YP44)	106
P0CX29	RS23A_YEAST	RPS23A RPS28A YGR118W G6178	Small ribosomal subunit protein uS12A (40S ribosomal protein S23-A) (RP37) (S28) (YS14)	145
P0CX30	RS23B_YEAST	RPS23B RPS28B YPR132W P9659.9	Small ribosomal subunit protein uS12B (40S ribosomal protein S23-B) (RP37) (S28) (YS14)	145
P0CX31	RS24A_YEAST	RPS24A RPS24EA YER074W	Small ribosomal subunit protein eS24A (40S ribosomal protein S24-A) (RP50)	135
P0CX32	RS24B_YEAST	RPS24B RPS24EB YIL069C	Small ribosomal subunit protein eS24B (40S ribosomal protein S24-B) (RP50)	135
P0CX35	RS4A_YEAST	RPS4A RPS7B YJR145C J2186	Small ribosomal subunit protein eS4A (40S ribosomal protein S4-A) (RP5) (S7) (YS6)	261
P0CX36	RS4B_YEAST	RPS4B RPS7A YHR203C	Small ribosomal subunit protein eS4B (40S ribosomal protein S4-B) (RP5) (S7) (YS6)	261
P0CX37	RS6A_YEAST	RPS6A RPS101 RPS10B YPL090C LPG18C	Small ribosomal subunit protein eS6A (40S ribosomal protein S6-A) (RP9) (S10) (YS4)	236
P0CX38	RS6B_YEAST	RPS6B RPS102 RPS10A YBR181C YBR1244	Small ribosomal subunit protein eS6B (40S ribosomal protein S6-B) (RP9) (S10) (YS4)	236
P0CX41	RL23A_YEAST	RPL23A RPL17A RPL17AA YBL087C YBL0713	Large ribosomal subunit protein uL14A (60S ribosomal protein L23-A) (L17a) (YL32)	137
P0CX42	RL23B_YEAST	RPL23B RPL17AB RPL17B YER117W	Large ribosomal subunit protein uL14B (60S ribosomal protein L23-B) (L17a) (YL32)	137
P0CX43	RL1A_YEAST	RPL1A SSM1 SSM1A YPL220W	Large ribosomal subunit protein uL1A (60S ribosomal protein L1-A) (L10a)	217
P0CX44	RL1B_YEAST	RPL1B SSM1B SSM2 YGL135W G2834	Large ribosomal subunit protein uL1B (60S ribosomal protein L1-B) (L10a)	217
P0CX45	RL2A_YEAST	RPL2A RPL5B YFR031C-A YFR031BC	Large ribosomal subunit protein uL2A (60S ribosomal protein L2-A) (L5) (RP8) (YL6)	254
P0CX46	RL2B_YEAST	RPL2B RPL5A YIL018W	Large ribosomal subunit protein uL2B (60S ribosomal protein L2-B) (L5) (RP8) (YL6)	254
P0CX47	RS11A_YEAST	RPS11A RPS18A YDR025W YD9813.03	Small ribosomal subunit protein uS17A (40S ribosomal protein S11-A) (RP41) (S18) (YS12)	156
P0CX48	RS11B_YEAST	RPS11B RPS18B YBR048W YBR0501	Small ribosomal subunit protein uS17B (40S ribosomal protein S11-B) (RP41) (S18) (YS12)	156
P0CX49	RL18A_YEAST	RPL18A RP28A YOL120C	Large ribosomal subunit protein eL18A (60S ribosomal protein L18-A) (RP28)	186
P0CX50	RL18B_YEAST	RPL18B RP28B YNL301C N0425	Large ribosomal subunit protein eL18B (60S ribosomal protein L18-B) (RP28)	186
